temp,temp-feel,temp_category,temp_code
9.84,14.395,Mild,9.84-14.395-Mild
9.02,13.635,Mild,9.02-13.635-Mild
9.84,12.88,Mild,9.84-12.88-Mild
20.1,13.635,Mild,20.1-13.635-Mild
8.2,12.88,Mild,8.2-12.88-Mild
13.12,17.425,Mild,13.12-17.425-Mild
15.58,19.695,Mild,15.58-19.695-Mild
14.76,16.665,Mild,14.76-16.665-Mild
17.22,21.21,Mild,17.22-21.21-Mild
18.86,22.725,Mild,18.86-22.725-Mild
18.04,21.97,Mild,18.04-21.97-Mild
20.11,21.21,Mild,20.11-21.21-Mild
16.4,20.455,Mild,16.4-20.455-Mild
20.11,22.725,Mild,20.11-22.725-Mild
20.11,20.455,Mild,20.11-20.455-Mild
14.76,17.425,Mild,14.76-17.425-Mild
14.76,23.55,Mild,14.76-23.55-Mild
13.94,16.665,Mild,13.94-16.665-Mild
20.11,16.665,Mild,20.11-16.665-Mild
13.12,14.395,Mild,13.12-14.395-Mild
20.12,13.635,Mild,20.12-13.635-Mild
10.66,11.365,Mild,10.66-11.365-Mild
9.84,10.605,Mild,9.84-10.605-Mild
20.12,11.365,Mild,20.12-11.365-Mild
9.02,9.85,Cold,9.02-9.85-Cold
20.12,8.335,Cold,20.12-8.335-Cold
6.56,6.82,Cold,6.56-6.82-Cold
5.74,5.305,Cold,5.74-5.305-Cold
20.13,6.82,Cold,20.13-6.82-Cold
5.74,6.06,Cold,5.74-6.06-Cold
7.38,8.335,Cold,7.38-8.335-Cold
8.2,9.09,Cold,8.2-9.09-Cold
20.13,10.605,Mild,20.13-10.605-Mild
10.66,12.12,Mild,10.66-12.12-Mild
9.84,11.365,Mild,9.84-11.365-Mild
20.14,11.365,Mild,20.14-11.365-Mild
7.38,9.85,Cold,7.38-9.85-Cold
5.74,7.575,Cold,5.74-7.575-Cold
7.38,10.605,Mild,7.38-10.605-Mild
6.56,9.09,Cold,6.56-9.09-Cold
5.74,9.09,Cold,5.74-9.09-Cold
4.92,7.575,Cold,4.92-7.575-Cold
20.16,7.575,Cold,20.16-7.575-Cold
6.56,7.575,Cold,6.56-7.575-Cold
9.02,10.605,Mild,9.02-10.605-Mild
9.02,11.365,Mild,9.02-11.365-Mild
10.66,12.88,Mild,10.66-12.88-Mild
20.17,13.635,Mild,20.17-13.635-Mild
12.3,14.395,Mild,12.3-14.395-Mild
11.48,13.635,Mild,11.48-13.635-Mild
20.18,13.635,Mild,20.18-13.635-Mild
9.02,12.88,Mild,9.02-12.88-Mild
8.2,11.365,Mild,8.2-11.365-Mild
6.56,9.85,Cold,6.56-9.85-Cold
8.2,9.85,Cold,8.2-9.85-Cold
7.38,9.09,Cold,7.38-9.09-Cold
20.19,9.85,Cold,20.19-9.85-Cold
11.48,12.88,Mild,11.48-12.88-Mild
12.3,15.91,Mild,12.3-15.91-Mild
9.84,12.12,Mild,9.84-12.12-Mild
7.38,12.12,Mild,7.38-12.12-Mild
6.56,11.365,Mild,6.56-11.365-Mild
5.74,8.335,Cold,5.74-8.335-Cold
20.22,11.365,Mild,20.22-11.365-Mild
20.22,12.12,Mild,20.22-12.12-Mild
10.66,14.395,Mild,10.66-14.395-Mild
10.66,13.635,Mild,10.66-13.635-Mild
20.24,10.605,Mild,20.24-10.605-Mild
20.24,9.85,Cold,20.24-9.85-Cold
8.2,10.605,Mild,8.2-10.605-Mild
20.25,13.635,Mild,20.25-13.635-Mild
20.25,9.85,Cold,20.25-9.85-Cold
8.2,23.71,Mild,8.2-23.71-Mild
20.26,9.85,Cold,20.26-9.85-Cold
20.26,10.605,Mild,20.26-10.605-Mild
6.56,8.335,Cold,6.56-8.335-Cold
20.29,9.85,Cold,20.29-9.85-Cold
8.2,8.335,Cold,8.2-8.335-Cold
7.38,6.82,Cold,7.38-6.82-Cold
6.56,6.06,Cold,6.56-6.06-Cold
4.92,6.06,Cold,4.92-6.06-Cold
4.92,5.305,Cold,4.92-5.305-Cold
20.31,5.305,Cold,20.31-5.305-Cold
4.1,3.03,Cold,4.1-3.03-Cold
4.1,3.79,Cold,4.1-3.79-Cold
20.32,3.79,Cold,20.32-3.79-Cold
20.32,4.545,Cold,20.32-4.545-Cold
4.1,4.545,Cold,4.1-4.545-Cold
3.28,4.545,Cold,3.28-4.545-Cold
4.92,3.79,Cold,4.92-3.79-Cold
20.33,6.82,Cold,20.33-6.82-Cold
9.02,9.09,Cold,9.02-9.09-Cold
7.38,7.575,Cold,7.38-7.575-Cold
20.35,6.06,Cold,20.35-6.06-Cold
4.92,6.82,Cold,4.92-6.82-Cold
4.1,6.06,Cold,4.1-6.06-Cold
4.1,5.305,Cold,4.1-5.305-Cold
20.38,9.85,Cold,20.38-9.85-Cold
5.74,6.82,Cold,5.74-6.82-Cold
20.4,11.365,Mild,20.4-11.365-Mild
20.44,7.575,Cold,20.44-7.575-Cold
8.2,7.575,Cold,8.2-7.575-Cold
20.45,9.09,Cold,20.45-9.09-Cold
20.46,9.09,Cold,20.46-9.09-Cold
20.47,5.305,Cold,20.47-5.305-Cold
20.47,6.06,Cold,20.47-6.06-Cold
20.48,7.575,Cold,20.48-7.575-Cold
8.2,23.98,Mild,8.2-23.98-Mild
20.49,10.605,Mild,20.49-10.605-Mild
20.5,6.06,Cold,20.5-6.06-Cold
4.1,24,Mild,4.1-24-Mild
4.1,6.82,Cold,4.1-6.82-Cold
20.51,9.09,Cold,20.51-9.09-Cold
4.92,8.335,Cold,4.92-8.335-Cold
9.02,12.12,Mild,9.02-12.12-Mild
20.54,11.365,Mild,20.54-11.365-Mild
20.54,12.12,Mild,20.54-12.12-Mild
5.74,10.605,Mild,5.74-10.605-Mild
20.56,7.575,Cold,20.56-7.575-Cold
20.57,14.395,Mild,20.57-14.395-Mild
13.12,15.91,Mild,13.12-15.91-Mild
13.12,15.15,Mild,13.12-15.15-Mild
20.57,15.91,Mild,20.57-15.91-Mild
10.66,15.15,Mild,10.66-15.15-Mild
20.59,10.605,Mild,20.59-10.605-Mild
20.6,10.605,Mild,20.6-10.605-Mild
20.61,9.85,Cold,20.61-9.85-Cold
20.61,9.09,Cold,20.61-9.09-Cold
20.62,7.575,Cold,20.62-7.575-Cold
20.63,9.85,Cold,20.63-9.85-Cold
20.64,7.575,Cold,20.64-7.575-Cold
20.64,6.82,Cold,20.64-6.82-Cold
20.64,9.09,Cold,20.64-9.09-Cold
20.64,11.365,Mild,20.64-11.365-Mild
20.66,11.365,Mild,20.66-11.365-Mild
20.66,12.88,Mild,20.66-12.88-Mild
11.48,15.15,Mild,11.48-15.15-Mild
16.4,24.19,Mild,16.4-24.19-Mild
20.67,20.455,Mild,20.67-20.455-Mild
13.94,15.91,Mild,13.94-15.91-Mild
12.3,15.15,Mild,12.3-15.15-Mild
12.3,13.635,Mild,12.3-13.635-Mild
20.7,12.12,Mild,20.7-12.12-Mild
20.71,11.365,Mild,20.71-11.365-Mild
20.72,11.365,Mild,20.72-11.365-Mild
20.74,15.91,Mild,20.74-15.91-Mild
13.94,14.395,Mild,13.94-14.395-Mild
11.48,12.12,Mild,11.48-12.12-Mild
9.84,9.85,Cold,9.84-9.85-Cold
20.75,7.575,Cold,20.75-7.575-Cold
20.76,6.82,Cold,20.76-6.82-Cold
20.76,6.06,Cold,20.76-6.06-Cold
20.77,9.85,Cold,20.77-9.85-Cold
20.77,10.605,Mild,20.77-10.605-Mild
20.78,12.88,Mild,20.78-12.88-Mild
20.8,13.635,Mild,20.8-13.635-Mild
20.81,12.88,Mild,20.81-12.88-Mild
20.81,12.12,Mild,20.81-12.12-Mild
20.83,11.365,Mild,20.83-11.365-Mild
20.84,12.12,Mild,20.84-12.12-Mild
20.84,13.635,Mild,20.84-13.635-Mild
20.85,12.88,Mild,20.85-12.88-Mild
20.86,14.395,Mild,20.86-14.395-Mild
20.86,16.665,Mild,20.86-16.665-Mild
13.94,18.18,Mild,13.94-18.18-Mild
13.94,17.425,Mild,13.94-17.425-Mild
20.86,17.425,Mild,20.86-17.425-Mild
11.48,14.395,Mild,11.48-14.395-Mild
20.87,14.395,Mild,20.87-14.395-Mild
10.66,24.41,Mild,10.66-24.41-Mild
14.76,18.18,Mild,14.76-18.18-Mild
20.89,19.695,Mild,20.89-19.695-Mild
20.89,15.91,Mild,20.89-15.91-Mild
13.12,16.665,Mild,13.12-16.665-Mild
20.9,15.15,Mild,20.9-15.15-Mild
20.9,16.665,Mild,20.9-16.665-Mild
11.48,15.91,Mild,11.48-15.91-Mild
20.91,9.85,Cold,20.91-9.85-Cold
20.94,5.305,Cold,20.94-5.305-Cold
3.28,3.79,Cold,3.28-3.79-Cold
2.46,3.79,Cold,2.46-3.79-Cold
2.46,5.305,Cold,2.46-5.305-Cold
2.46,7.575,Cold,2.46-7.575-Cold
20.96,7.575,Cold,20.96-7.575-Cold
20.97,7.575,Cold,20.97-7.575-Cold
21.01,9.09,Cold,21.01-9.09-Cold
4.92,9.85,Cold,4.92-9.85-Cold
3.28,6.06,Cold,3.28-6.06-Cold
4.1,9.09,Cold,4.1-9.09-Cold
3.28,8.335,Cold,3.28-8.335-Cold
12.3,16.665,Mild,12.3-16.665-Mild
21.06,15.15,Mild,21.06-15.15-Mild
21.08,6.82,Cold,21.08-6.82-Cold
21.08,7.575,Cold,21.08-7.575-Cold
13.94,15.15,Mild,13.94-15.15-Mild
21.09,15.15,Mild,21.09-15.15-Mild
21.11,11.365,Mild,21.11-11.365-Mild
21.12,13.635,Mild,21.12-13.635-Mild
14.76,15.91,Mild,14.76-15.91-Mild
21.12,20.455,Mild,21.12-20.455-Mild
16.4,24.68,Mild,16.4-24.68-Mild
13.12,24.69,Mild,13.12-24.69-Mild
21.14,25,Mild,21.14-25-Mild
22.96,26.515,Hot,22.96-26.515-Hot
23.78,27.275,Hot,23.78-27.275-Hot
24.6,29.545,Hot,24.6-29.545-Hot
21.32,25,Mild,21.32-25-Mild
21.14,15.91,Mild,21.14-15.91-Mild
13.94,24.69,Mild,13.94-24.69-Mild
12.3,12.12,Mild,12.3-12.12-Mild
11.48,11.365,Mild,11.48-11.365-Mild
21.14,9.09,Cold,21.14-9.09-Cold
21.15,12.12,Mild,21.15-12.12-Mild
21.17,12.88,Mild,21.17-12.88-Mild
21.17,9.85,Cold,21.17-9.85-Cold
21.19,22.725,Mild,21.19-22.725-Mild
21.19,15.91,Mild,21.19-15.91-Mild
21.19,16.665,Mild,21.19-16.665-Mild
13.94,24.76,Mild,13.94-24.76-Mild
21.2,21.97,Mild,21.2-21.97-Mild
19.68,23.485,Mild,19.68-23.485-Mild
22.14,25.76,Hot,22.14-25.76-Hot
24.6,31.06,Hot,24.6-31.06-Hot
24.6,30.305,Hot,24.6-30.305-Hot
21.2,26.515,Hot,21.2-26.515-Hot
20.5,24.24,Mild,20.5-24.24-Mild
21.2,22.725,Mild,21.2-22.725-Mild
21.21,31.06,Hot,21.21-31.06-Hot
27.06,31.06,Hot,27.06-31.06-Hot
26.24,31.06,Hot,26.24-31.06-Hot
